t,x,y,z,yaw
11.543000,-5.010457,2.983885,-0.175507,-0.012529
11.643000,-4.950245,2.976863,-0.201573,-0.012529
11.743000,-4.862583,2.964596,-0.236596,-0.012529
11.843000,-4.762751,2.960589,-0.277111,-0.012529
11.943000,-4.659549,2.972597,-0.321119,-0.012529
12.043000,-4.557979,3.007045,-0.367775,-0.012529
12.143000,-4.459436,3.058671,-0.415827,-0.012529
12.243000,-4.362235,3.117358,-0.464420,-0.012529
12.343000,-4.267978,3.168074,-0.510825,-0.012529
12.443000,-4.185205,3.201850,-0.550734,-0.012529
12.543000,-4.121983,3.211982,-0.580330,-0.012529
12.643000,-4.085942,3.209375,-0.598480,-0.012529
12.743000,-4.075385,3.208036,-0.607798,-0.012529
12.843000,-4.077033,3.207305,-0.612885,-0.012529
12.943000,-4.078816,3.206581,-0.617926,-0.012529
13.043000,-4.080599,3.205857,-0.622966,-0.012529
13.143000,-4.082382,3.205132,-0.628007,-0.012529
13.243000,-4.084165,3.204408,-0.633048,-0.012529
13.343000,-4.085949,3.203684,-0.638088,-0.012529
13.443000,-4.087732,3.202960,-0.643129,-0.012529
13.543000,-4.089515,3.202235,-0.648169,-0.012529
13.643000,-4.091298,3.201511,-0.653210,-0.012529
13.743000,-4.093081,3.200787,-0.658251,-0.012529
13.843000,-4.094864,3.200063,-0.663291,-0.012529
13.943000,-4.096647,3.199338,-0.668332,-0.012529
14.043000,-4.098430,3.198614,-0.673372,-0.012529
14.143000,-4.100213,3.197890,-0.678413,-0.012529
14.243000,-4.101996,3.197166,-0.683453,-0.012529
14.343000,-4.103780,3.196442,-0.688494,-0.012529
14.443000,-4.105563,3.195717,-0.693535,-0.012529
14.543000,-4.107346,3.194993,-0.698575,-0.012529
14.643000,-4.109129,3.194269,-0.703616,-0.012529
14.743000,-4.110912,3.193545,-0.708656,-0.012529
14.843000,-4.112695,3.192820,-0.713697,-0.012529
14.943000,-4.114478,3.192096,-0.718738,-0.012529
15.043000,-4.116261,3.191372,-0.723778,-0.012529
15.143000,-4.118044,3.190648,-0.728819,-0.012529
15.243000,-4.119827,3.189924,-0.733859,-0.012529
15.343000,-4.121611,3.189199,-0.738900,-0.012529
15.443000,-4.123394,3.188475,-0.743940,-0.012529
15.543000,-4.125177,3.187751,-0.748981,-0.012529
15.643000,-4.126960,3.187027,-0.754022,-0.012529
15.743000,-4.128743,3.186302,-0.759062,-0.012529
15.843000,-4.130526,3.185578,-0.764103,-0.012529
15.943000,-4.132309,3.184854,-0.769143,-0.012529
