t_s,x_m,y_m,z_m,cum_dist_m
0.000,-5.375000,3.425000,0.102580,0.000000
1.000,-5.375076,3.424922,0.063000,0.000109
2.000,-5.162875,3.289257,0.062963,0.252233
3.000,-4.785318,3.002757,0.062993,0.726342
4.000,-4.426112,2.690487,0.061487,1.202359
5.000,-4.076447,2.367658,0.060000,1.678273
6.000,-3.734328,2.040008,0.060000,2.151984
7.000,-3.660008,1.851985,0.060001,2.358654
8.000,-3.660018,1.852259,0.059996,2.359389
9.000,-3.660049,1.852879,0.059997,2.360470
10.000,-3.660001,1.852724,0.059990,2.361007
11.100,-3.660006,1.852583,0.059992,2.361595
12.100,-4.044194,1.852652,0.060000,2.745784
13.100,-4.437671,1.852164,0.061508,3.139263
14.100,-4.833383,1.851006,0.061531,3.534978
15.100,-5.229436,1.850527,0.061528,3.931032
16.100,-5.625489,1.850065,0.061525,4.327085
17.100,-5.839974,1.848896,0.061522,4.541811
18.100,-5.839971,1.848981,0.061522,4.542391
19.100,-5.839970,1.848554,0.061519,4.543469
20.100,-5.839989,1.848300,0.061516,4.543930
21.100,-5.839968,1.847925,0.061514,4.544783
22.100,-5.839896,1.847855,0.061509,4.544886
23.100,-5.839663,1.847677,0.061508,4.545180
24.100,-5.839306,1.847424,0.061508,4.545617
25.100,-5.839243,1.847318,0.061507,4.545749
26.100,-5.839219,1.847186,0.061507,4.545885
27.100,-5.839201,1.847076,0.061506,4.545997
28.100,-5.839173,1.846940,0.061505,4.546136
29.100,-5.839137,1.846784,0.061503,4.546297
30.100,-5.839137,1.846723,0.061503,4.546358
31.100,-5.839092,1.846544,0.061504,4.546543
32.100,-5.839091,1.846483,0.061503,4.546604
33.000,-5.839043,1.846297,0.061502,4.546797
34.000,-5.839035,1.846218,0.061500,4.546877
34.600,-5.839034,1.846183,0.061500,4.546912
